Index,SingularValue,Energy,CumulativeEnergy
1,97559.566674,9517869049.568600,91.23
2,15270.343647,233183395.104800,93.47
3,11845.315591,140311501.456629,94.81
4,9264.155004,85824567.946960,95.63
5,7720.777897,59610411.341169,96.20
6,7019.805000,49277662.242100,96.68
7,6556.274751,42984738.611053,97.09
8,5874.496613,34509710.450979,97.42
9,4896.072251,23971523.488665,97.65
10,4770.962268,22762080.960849,97.87
11,4625.046281,21391053.098492,98.07
12,3991.478129,15931897.657006,98.23
13,3803.320622,14465247.753551,98.36
14,3568.697829,12735604.192980,98.49
15,3233.598093,10456156.626486,98.59
16,3087.892528,9535080.266125,98.68
17,2900.875960,8415081.334165,98.76
18,2552.883797,6517215.683114,98.82
19,2481.270517,6156703.378934,98.88
20,2426.347127,5887160.380013,98.94
21,2319.024927,5377876.610120,98.99
22,2245.401291,5041826.955666,99.04
23,2202.911126,4852817.428815,99.08
24,2097.511384,4399554.005977,99.12
25,2041.110647,4166132.673583,99.16
26,1968.382627,3874530.166046,99.20
27,1896.041300,3594972.610745,99.24
28,1875.782275,3518559.142230,99.27
29,1793.606697,3217024.983261,99.30
30,1762.632214,3106872.322871,99.33
31,1727.990222,2985950.208216,99.36
32,1677.403210,2813681.529296,99.39
33,1654.893337,2738671.955932,99.41
34,1612.972466,2601680.176927,99.44
35,1562.150858,2440315.302434,99.46
36,1540.959280,2374555.502563,99.48
37,1517.195280,2301881.518151,99.51
38,1471.302080,2164729.812021,99.53
39,1458.680205,2127747.941519,99.55
40,1391.153208,1935307.248909,99.57
41,1383.543584,1914192.848995,99.58
42,1368.862196,1873783.711048,99.60
43,1318.395826,1738167.555178,99.62
44,1290.347049,1664995.506842,99.63
45,1278.622418,1634875.287531,99.65
46,1230.494898,1514117.692936,99.66
47,1217.085471,1481297.042959,99.68
48,1200.855395,1442053.679100,99.69
49,1182.331371,1397907.470807,99.71
50,1137.763994,1294506.905646,99.72
51,1117.776390,1249424.057657,99.73
52,1087.204167,1182012.901555,99.74
53,1055.793610,1114700.146039,99.75
54,1024.889660,1050398.814388,99.76
